ลิเทียม	ลิ เที่ยม
ลิเบีย	ลิ เบีย
ลิเวอร์มอเรียม	ลิ เว่อ มอ เรี่ยม
ลิ่มนิ้ว	ลิ่ม นิ้ว
ลิ่มเลือด	ลิ่ม เลือด
ลิ่วล้อ	ลิ่ว ล้อ
ลิ้นจี่	ลิ้น จี่
ลิ้นชัก	ลิ้น ชัก
ลิ้นทะเล	ลิ้น ทะ เล
ลิ้นสองแฉก	ลิ้น สอง แฉก
ลิ้นหัวใจ	ลิ้น หัว ไจ
ลิ้นไก่	ลิ้น ไก่
ลีมูซีน	ลี มู ซีน
ลีลาศ	ลี ลาด
ลีสู่	ลี สู่
ลีเมอร์	ลี เม่อ
ลี้ภัย	ลี้ ไพ
ลึกลับ	ลึก ลับ
ลึงค์	ลึง
ลือชา	ลือ ชา
ลุยเซียนา	ลุย เซีย น่า
ลุล่วง	ลุ ล่วง
ลูกกบ	ลูก กบ
ลูกกระเดือก	ลูก กฺระ เดือก
ลูกกรุง	ลูก กฺรุง
ลูกขุน	ลูก ขุน
ลูกครึ่ง	ลูก คฺรึ่ง
ลูกความ	ลูก คฺวาม
ลูกคำ	ลูก คัม
ลูกคิด	ลูก คิด
ลูกค้า	ลูก ค้า
ลูกจีน	ลูก จีน
ลูกจ้าง	ลูก จ้าง
ลูกชาย	ลูก ชาย
ลูกชิ้น	ลูก ชิ้น
ลูกช้าง	ลูก ช้าง
ลูกซัด	ลูก ซัด
ลูกดก	ลูก ดก
ลูกดอก	ลูก ดอก
ลูกดิ่ง	ลูก ดิ่ง
ลูกตุ้ม	ลูก ตุ้ม
ลูกทุ่ง	ลูก ทุ่ง
ลูกน้อง	ลูก น้อง
ลูกน้ำ	ลูก น้าม
ลูกบอล	ลูก บ็อน
ลูกบอล	ลูก บ็อล
ลูกบาศก์	ลูก บาด
ลูกบิด	ลูก บิด
ลูกปรายหิมะ	ลูก ปฺราย หิ มะ
ลูกปัด	ลูก ปัด
ลูกปืน	ลูก ปืน
ลูกผู้ชาย	ลูก ผู้ ชาย
ลูกพี่ลูกน้อง	ลูก พี่ ลูก น้อง
ลูกศร	ลูก สอน
ลูกสาว	ลูก สาว
ลูกสูบ	ลูก สูบ
ลูกหนี้	ลูก นี่
ลูกหมา	ลูก หฺมา
ลูกหมู	ลูก หฺมู
ลูกหลง	ลูก หฺลง
ลูกหลวง	ลูก หฺลวง
ลูกอม	ลูก อม
ลูกอ๊อด	ลูก อ๊อด
ลูกเขย	ลูก เขย
ลูกเขยตายแม่ยายทำศพ	ลูก เขย ตาย แม่ ยาย ทำ สบ
ลูกเต๋า	ลูก เต๋า
ลูกเธอ	ลูก เทอ
ลูกเลี้ยง	ลูก เลี้ยง
ลูกเล่น	ลูก เล็่น
ลูกเสือ	ลูก เสือ
ลูกเสือลูกตะเข้	ลูก เสือ ลูก ตะ เข้
ลูกเห็บ	ลูก เห็บ
ลูกแก้ว	ลูก แก้ว
ลูกแก้วหิมะ	ลูก แก้ว หิ มะ
ลูกแพร์	ลูก แพ
ลูกโป่ง	ลูก โป่ง
ลูกโลก	ลูก โลก
ลูกไก่	ลูก ไก่
ลูกไฟ	ลูก ไฟ
ลูกไม้	ลูก ไม้
ลูทีเชียม	ลู ที เชี่ยม
ลูบลิยานา	ลู บฺลิ ยา น่า
ลแวก	ละ แวก
ล่มจม	ล่ม จม
ล่วงล้ำ	ล่วง ล้ำ
ล่วงหน้า	ล่วง น่า
ล่อง	ล็่อง
ล่องหน	ล็่อง หน
ล่อนจ้อน	ล่อน จ้อน
ล่อแหลม	ล่อ แหฺลม
ล่าช้า	ล่า ช้า
ล่าแม่มด	ล่า แม่ มด
ล่ำซำ	ล่ำ ซำ
ล่ำสัน	ล่ำ สัน
ล้มละลาย	ล้ม ละ ลาย
ล้มเลิก	ล้ม เลิก
ล้มเหลว	ล้ม เหฺลว
ล้วงคองูเห่า	ล้วง คอ งู เห่า
ล้อเลียน	ล้อ เลียน
ล้อเล่น	ล้อ เล็่น
ล้างตู้เย็น	ล้าง ตู้ เย็น
ล้างสมอง	ล้าง สะ หฺมอง
ล้างเผ่าพันธุ์	ล้าง เผ่า พัน
ล้านช้าง	ล้าน ช้าง
ล้านนา	ล้าน นา
ล้าสมัย	ล้า สะ ไหฺม
ฦ	ลึ
ฦก	ลึก
ฦกซึ้ง	ลึก ซึ้ง
ฦๅ	ลือ
ฦๅชา	ลือ ชา
ว	วอ
ว.	วอ
วงกบ	วง กบ
วงกลม	วง กฺลม
วงการ	วง กาน
วงจร	วง จอน
วงดนตรี	วง ดน ตฺรี
วงพาด	วง พาด
วงรี	วง รี
วงศ์	วง
วงเล็บ	วง เล็บ
วงเวียน	วง เวียน
วงแหวน	วง แหฺวน
วงโคจร	วง โค จอน
วจนะ	วะ จะ นะ
วจีกรรม	วะ จี กำ
วณิพก	วะ นิบ พก
วณิพก	วะ นิ พก
วดี	 วะ ดี
วนศาสตร์	วะ นะ สาด
วนอุทยาน	วะ นะ อุด ทะ ยาน
วนิพก	วะ นิบ พก
วนิพก	วะ นิ พก
วยัคฆ์	วะ ยัก
วยัสย์	วะ ยัด
วรรค	วัก
วรรณ	วัน
วรรณ	วัน นะ 
วรรณกรรม	วัน นะ กำ
วรรณคดี	วัน นะ คะ ดี
วรรณยุกต์	วัน นะ ยุก
วรรณะ	วัน นะ
วรสาร	วะ ระ สาน
วรางกูร	วะ ราง กูน
วลัย	วะ ไล
วลี	วะ ลี
วสันต์	วะ สัน
วอชิงตัน	วอ ชิง ตัน
วอชิงตัน	วอ ชิง ตั้น
วอดก้า	ว็้อด ก้า
วอมแบต	ว็อม แบ็ด
วอร์ซอ	วอ ซอ
วอลรัส	วอล รัส
วอลเลย์บอล	ว็อน เล่ บ็อน
วอลเลย์บอล	ว็อล เล่ บ็อน
วัคซีน	วัก ซีน
วังหน้า	วัง น่า
วัจมรรค	วัด จะ มัก
วัชพืช	วัด ชะ พืด
วัฏภาค	วัด ตะ พาก
วัฒนธรรม	วัด ทะ นะ ทำ
วัฒนธรรม	วัด ท̄ะ นะ ทำ
วัฒนะ	วัด ทะ นะ
วัณโรค	วัน นะ โรก
วัดเสมียน	วัด สะ เหฺมียน
วัตต์	หฺวัด
วัตถุ	วัด ถุ
วัตถุดำ	วัด ถุ ดัม
วัตถุดิบ	วัด ถุ ดิบ
วัตถุนิยม	วัด ถุ นิ ยม
วัตถุประสงค์	วัด ถุ ปฺระ สง
วัตถุมงคล	วัด ถุ มง คน
วัตถุระเบิด	วัด ถุ ระ เบิด
วัตถุไวไฟ	วัด ถุ ไว ไฟ
วันขอบคุณพระเจ้า	วัน ขอบ คุน พฺระ จ้าว
วันชาติ	วัน ชาด
วันตรุษไทย	วัน ตฺรุด ไท
วันทยหัตถ์	วัน ทะ ยะ หัด
วันทยาวุธ	วัน ทะ ยา วุด
วันที่	วัน ที่
วันนั้นของเดือน	วัน นั้น ของ เดือน
วันนี้	วัน นี้
วันพระ	วัน พฺระ
วันพฤหัสฯ	วัน พฺรึ หัด
วันวาเลนไทน์	วัน วา เล็น ทาย
วันวิสาขบูชา	วัน วิ สา ขะ บู ชา
วันหยุด	วัน หฺยุด
วันเกิด	วัน เกิด
วันแห่งความรัก	วัน แห็่ง คฺวาม รัก
วัยรุ่น	ไว รุ่น
วัยเด็ก	วัย เด็ก
วัลเลตตา	วัล เล็ด ต้า
วัวตายควายล้ม	วัว ตาย คฺวาย ล้ม
วัวทะเล	วัว ทะ เล
วัวลืมตีน	วัว ลืม ตีน
วัวสันหลังหวะ	วัว สัน หฺลัง หฺวะ
วัวหายล้อมคอก	วัว หาย ล้อม คอก
วัวแดง	วัว แดง
วัสดุ	วัด สะ ดุ
วัสดุก่อสร้าง	วัด สะ ดุ ก่อ ส้าง
วากยสัมพันธ์	วาก กะ ยะ สำ พัน
วางท่า	วาง ท่า
วางมวย	วาง มวย
วางมือ	วาง มือ
วางวาย	วาง วาย
วางสาย	วาง สาย
วางแผน	วาง แผน
วางใจ	วาง ไจ
วางไข่	วาง ไข่
วาจา	วา จา
วาซาบิ	วา ซา บิ
วาณิช	วา นิด
วาดุซ	วา ดุ๊ส
วาติกัน	วา ติ กัน
วาทกรรม	วา ทะ กำ
วาทศาสตร์	วา ทะ สาด
วาทศิลป์	วา ทะ สิน
วานซืน	วาน ซืน
วานร	วา นอน
วานรินทร์	วา นะ ริน
วานิลลา	วะ นิ ลา
วานูอาตู	วา นู อา ตู
วายชนม์	วาย ชน
วายปราณ	วาย ปฺราน
วายวาง	วาย วาง
วายุ	วา ยุ
วาร	วาน
วาร	วา ระ 
วารวาริ	วา ระ วา ริ
วารสาร	วา ระ สาน
วารสารศาสตร์	วา ระ สาน สาด
วาระ	วา ระ
วาระซ่อนเร้น	วา ระ ซ่อน เร้น
วาร์ป	ว้าบ
วาล์ว	วาว
วาสนา	วาด สะ หฺนา
วาสลีน	ว้าส ลีน
วาสุกรี	วา สุ กฺรี
วาสุกี	วา สุ กี
วาฬ	วาน
วาฬ	วา ละ 
วาฬ	วาน
วาฬสีน้ำเงิน	วาน สี น้ำ เงิ็น
วาฬเพชฌฆาต	วาน เพ็ด ชะ คาด
วาเนเดียม	วา เน เดี้ยม
วิกรม	วิ กฺรม
วิกฤต	วิ กฺริด
วิกฤต	วิ กฺริด ตะ 
วิกฤตการณ์	วิ กฺริด ตะ กาน
วิกฤติ	วิ กฺริด
วิกฤติ	วิ กฺริด ติ 
วิกาล	วิ กาน
วิกาล	วิ กาน 
วิกาล	วิ กาน ละ 
วิกิ	วิ กิ
วิกิตำรา	วิ กิ ตำ รา
วิกิพจนานุกรม	วิ กิ พด จะ นา นุ กฺรม
วิกิพีเดีย	วิ กิ พี เดีย
วิกิพีเดีย	วิ กิ พี เดี่ย
วิงวอน	วิง วอน
วิงเวียน	วิง เวียน
วิจัย	วิ ไจ
วิจารณ์	วิ จาน
วิจิตร	วิ จิด
วิจิตรศิลป์	วิ จิด ตฺระ สิน
วิจิตรศิลป์	วิ จิด สิน
วิชชุ	วิด ชุ
วิชัย	วิ ช ย
วิชา	วิ ชา
วิชาชีพ	วิ ชา ชีบ
วิซิกอท	วิ ซิ ก็๊อด
วิซิกอท	วิ ซิ ก็อด
วิญญาณ	วิน ยาน
วิญญาณ	วิน ยา นะ 
วิญญาณ	วิน ยาน นะ 
วิญญูชน	วิน ยู ชน
วิดีโอ	วิ ดี โอ
วิตก	วิ ตก
วิตถาร	วิด ถาน
วิตามิน	วิ ตา มิน
วิถี	วิ ถี
วิทยา	วิด ทะ ยา
วิทยาการระบาด	วิด ทะ ยา กาน ระ บาด
วิทยาการเอ็มบริโอ	วิด ทะ ยา กาน เอ็ม บฺริ โอ้
วิทยานิพนธ์	วิด ทะ ยา นิ พน
วิทยาลัย	วิด ทะ ยา ไล
วิทยาศาสตร์	วิด ทะ ยา สาด
วิทยุ	วิด ทะ ยุ
วิทัศน์	วิ ทัด
วิธี	วิ ที
วิธีการ	วิ ที กาน
วิธีพิจารณา	วิ ที พิ จา ระ นา
วินัย	วิ ไน
วินาที	วิ นา ที
วินาศ	วิ นาด
วินาศ	วิ นาด สะ 
วินิจฉัย	วิ นิด ไฉ
วิบัติ	วิ บัด
วิบัติ	วิ บัด ติ 
วิปครีม	วิบ คฺรีม
วิปลาส	วิ ปะ ลาด
วิปลาส	วิบ ปะ ลาด
วิปัสสนา	วิ ปัด สะ นา
วิปัสสนาธุระ	วิ ปัด สะ นา ทุ ระ
วิปโยค	วิบ ปะ โยก
วิมล	วิ มน
วิมาน	วิ มาน
วิลาด	วิ ลาด
วิลาศ	วิ ลาด
วิลิศมาหรา	วิ ลิด สะ มา หฺรา
วิวรณ์	วิ วอน
วิวัฒนาการ	วิ วัด ทะ นา กาน
วิวาท	วิ วาด
วิวาห์	วิ วา
วิศวกร	วิด สะ วะ กอน
วิศวกรรม	วิด สะ วะ กำ
วิศวกรรม	วิด สะ วะ กำ มะ 
วิสกี้	วิส กี้
วิสกี้	วิด สะ กี้
วิสคอนซิน	วิส ค็อน ซิ่น
วิสรรชนีย์	วิ สัน ชะ นี
วิสัญญี	วิ สัน ยี
วิสัญญีแพทย์	วิ สัน ยี แพด
วิสัย	วิ ไส
วิสัยทัศน์	วิ สัย ทัด
วิสา	วิ สา
วิสาข	วิ สา ขะ 
วิสาขบูชา	วิ สา ขะ บู ชา
วิสามัญ	วิ สา มัน
วิสามัญ	วิ สา มัน 
วิสามัญ	วิ สา มัน ยะ 
วิสามานยนาม	วิ สา มาน ยะ นาม
วิสูตร	วิ สูด
วิหค	วิ หก
วิหาร	วิ หาน
วิหาร	วิ หา ระ 
วิฬาร	วิ ลาน
วิฬาร์	วิ ลา
วิเคราะห์	วิ เคฺราะ
วิเชียร	วิ เชียน
วิเชียรมาศ	วิ เชียน มาด
วิเศษ	วิ เสด
วิเศษณานุประโยค	วิ เส สะ นา นุ ปฺระ โหฺยก
วิเศษณ์	วิ เสด
วิเสท	วิ เสด
วิโรธ	วิ โรด
วิโอลา	วิ โอ ล่า
วิ่งควาย	วิ่ง คฺวาย
วีซา	วี ซ่า
วีซีดี	วี ซี ดี
วีดิทัศน์	วี ดิ ทัด
วีร	วี ระ
วีรกรรม	วี ระ กำ
วีรบุรุษ	วี ระ บุ หฺรุด
วีรยุทธ	วี ร ยุทธ
วุฒิสภา	วุด ทิ สะ พา
วุฒิสมาชิก	วุด ทิ สะ มา ชิก
วุ้นมะพร้าว	วุ้น มะ พฺร้าว
วุ้นเส้น	วุ้น เซ็่น
วุ้นแปลภาษา	วุ้น แปฺล พา สา
วู่วาม	วู่ วาม
ว่องไว	ว็่อง ไว
ว่าความ	ว่า คฺวาม
ว่างงาน	ว่าง งาน
ว่าต่าง	ว่า ต่าง
ว่าที่	ว่า ที่
ว่านน้ำ	ว่าน น้าม
ว่านหางจระเข้	ว่าน หาง จอ ระ เค่
ว่ายน้ำ	ว่าย น้าม
ว่าราชการ	ว่า ราด ชะ กาน
ว่าว	ว่าว
ว่าว	เว่า
ว่าแต่เขาอิเหนาเป็นเอง	ว่า แต่ เขา อิ เหฺนา เป็น เอง
ว้าเหว่	ว้า เหฺว่
ศ	สอ
ศ.	สอ
ศก	สก
ศตวรรษ	สะ ตะ วัด
ศตวรรษ	สัด ตะ วัด
ศพ	สบ
ศร	สอน
ศรดำ	สอน ดำ
ศรัทธา	สัด ทา
ศรี	สี
ศรีชยวรรธนปุระโกฏเฏ	สี ชัย ยะ วัด ทะ นะ ปุ ระ โกด ตี
ศรีธนญชัย	สี ทะ นน ไช
ศรีราชา	สี รา ชา
ศรีลังกา	สี ลัง กา
ศรีสะเกษ	สี สะ เกด
ศฤคาล	สฺริ คาน
ศฤงคาร	สะ หฺริง คาน
ศฤงคาร	สิง คาน
ศฤงคาร	สะ หฺริง คาน ระ 
ศฤงคาร	สิง คา ระ 
ศวา	ศ วา
ศวาน	สะ วาน
ศศะ	สะ สะ
ศอ	สอ
ศอก	สอก
ศักดิ	สัก ดิ
ศักดินา	สัก ดิ นา
ศักดิ์	สัก
ศักดิ์ศรี	สัก สี
ศักดิ์ศรีความเป็นมนุษย์	สัก สี คฺวาม เป็น มะ นุด
ศักดิ์สิทธิ์	สัก สิด
ศักย	สัก กะ ยะ
ศักยภาพ	สัก กะ ยะ พาบ
ศักย์	สัก
ศักราช	สัก กะ หฺราด
ศังข์	สัง
ศังข์รัศมิ์	สัง ขะ รัด
ศัตรู	สัด ตฺรู
ศัพทมูล	สับ ทะ มูน
ศัพทมูลวิทยา	สับ ทะ มูน วิด ทะ ยา
ศัพท์	สับ
ศัพท์บัญญัติ	สับ บัน หฺยัด
ศัลย	สัน ละ ยะ 
ศัลย	สัน ยะ 
ศัลยกรรม	สัน ยะ กำ
ศัลยกรรม	สัน ละ ยะ กำ
ศัลยกรรมเสริมสวย	สัน ละ ยะ กำ เสิม สวย
ศัลยกรรมเสริมสวย	สัน ยะ กำ เสิม สวย
ศัลยแพทย์	สัน ยะ แพด
ศัลยแพทย์	สัน ละ ยะ แพด
ศารท	สาด
ศารท	สา ระ ทะ 
ศาล	สาน
ศาลชั้นต้น	สาน ชั้น ต้น
ศาลชั้นอุทธรณ์	สาน ชั้น อุด ทอน
ศาลฎีกา	สาน ดี กา
ศาลปกครอง	สาน ปก คฺรอง
ศาลพระภูมิ	สาน พฺระ พูม
ศาลยุติธรรม	สาน ยุด ติ ทำ
ศาลยุติธรรมระหว่างประเทศ	สาน ยุด ติ ทำ ระ หฺว่าง ปฺระ เทด
ศาลรัฐธรรมนูญ	สาน รัด ถะ ทำ มะ นูน
ศาลสูงสุด	สาน สูง สุด
ศาลอุทธรณ์	สาน อุด ทอน
ศาลา	สา ลา
ศาลากลาง	สา ลา กฺลาง
ศาลเจ้า	สาน จ้าว
ศาลเตี้ย	สาน เตี้ย
ศาสดา	สาด สะ ดา
ศาสตราคม	สาด ตฺรา คม
ศาสตราจารย์	สาด ตฺรา จาน
ศาสตราจารย์	สาด สะ ตฺรา จาน
ศาสตร์	สาด
ศาสนา	สาด สะ หฺนา
ศาสนาฮินดู	สาด สะ หฺนา ฮิน ดู
ศิคาล	สิ คาน
ศิริ	สี
ศิลปศาสตร์	สิน ละ ปะ สาด
ศิลปะ	สิน ละ ปะ
ศิลปิน	สิน ละ ปิน
ศิลป์	สิน
ศิลา	สิ ลา
ศิลาจารึก	สิ ลา จา รึก
ศิลาแลง	สิ ลา แลง
ศิวะ	สิ วะ
ศิศุ	สิ สุ
ศิษย์	สิด
ศิษย์เก่า	สิด เก่า
ศีรษะ	สี สะ
ศีล	สีน
ศีลธรรม	สีน ทำ
ศีลธรรม	สีน ละ ทำ
ศีลอด	สีน อด
ศึก	สึก
ศึกษา	สึก สา
ศึกษาศาสตร์	สึก สา สาด
ศุกร์	สุก
ศุข	สุก
ศุภมัสดุ	สุบ พะ มัด สะ ดุ
ศุภลักษณ์	สุบ พะ ลัก
ศุภอักษร	สุบ พะ อัก สอน
ศูทร	สูด
ศูนย์	สูน
ศูนย์กลาง	สูน กฺลาง
ศูนย์กลางมวล	สูน กฺลาง มวน
ศูนย์การค้า	สูน กาน ค้า
ษ	สอ
ส	สอ
ส.	สอ
ส.ค.	สอ คอ
ส.ค.ส.	สอ คอ สอ
ส.ว.	สอ วอ
ส.ส.	สอ สอ
ส.ค.	สอ คอ
สกปรก	สก กะ ปฺรก
สกรรมกริยา	สะ กำ กฺริ ยา
สกรรมกริยา	สะ กำ กะ ริ ยา
สกรู	สะ กฺรู
สกล	สะ กน
สกล	สะ กน ละ 
สกลนคร	สะ กน นะ คอน
สกอตแลนด์	สะ ก็๊อด แลน
สกังก์	สะ กั้ง
สกัด	สะ กัด
สกี	สะ กี
สกุณ	สะ กุน
สกุณา	สะ กุ นา
สกุล	สะ กุน
สกู๊ตเตอร์	สะ กู๊ด เต้อ
สก็อต	สะ ก็อด
สก็อตแลนด์	สะ ก็๊อด แลน
สงกรานต์	สง กฺราน
สงขลา	สง ขฺลา
สงคราม	สง คฺราม
สงครามกลางเมือง	สง คฺราม กฺลาง เมือง
สงครามจิตวิทยา	สง คฺราม จิด ตะ วิด ทะ ยา
สงครามตัวแทน	สง คฺราม ตัว แทน
สงครามประสาท	สง คฺราม ปฺระ สาด
สงครามเย็น	สง คฺราม เย็น
สงครามโลก	สง คฺราม โลก
สงครามโลกครั้งที่สอง	สง คฺราม โลก คฺรั้ง ที่ สอง
สงครามโลกครั้งที่หนึ่ง	สง คฺราม โลก คฺรั้ง ที่ หฺนึ่ง
สงฆ์	สง
สงบ	สะ หฺงบ
สงบสุข	สะ หฺงบ สุก
สงวน	สะ หฺงวน
สงสัย	สง ไส
สงสาร	สง สาน
สงสาร	สง สา ระ 
สงสาร	สง สาน
สงัด	สะ หฺงัด
สงเคราะห์	สง เคฺราะ
สง่า	สะ หฺง่า
สง่า	ส̄ะ หฺง่า
สดมภ์	สะ ดม
สดับ	สะ ดับ
สดับตรับฟัง	สะ ดับ ตฺรับ ฟัง
สดุดี	สะ ดุ ดี
สดใส	สด ไส
สตรอนเชียม	สะ ตฺร็อน เชี่ยม
สตรอว์เบอร์รี	สะ ตฺรอ เบอ รี่
สตรี	สะ ตฺรี
สตรี	สัด ตฺรี
สตอ	สะ ตอ
สตางค์	สะ ตาง
สติ	สะ ติ
สติกเกอร์	สะ ติ๊ก เก้อ
สตูล	สะ ตูน
สต็อกโฮล์ม	สะ ต็๊อก โฮม
สถบดี	สะ ถะ บอ ดี
สถล	สะ ถน
สถล	สะ ถน ละ 
สถาน	สะ ถาน
สถาน	สะ ถา นะ 
สถานกงสุล	สะ ถาน กง สุน
สถานการณ์	สะ ถา นะ กาน
สถานการณ์	สะ ถาน นะ กาน
สถานการณ์ฉุกเฉิน	สะ ถา นะ กาน ฉุก เฉิน
สถานที่	สะ ถาน ที่
สถานทูต	สะ ถาน ทูด
สถานพินิจ	สะ ถาน พิ นิด
สถานะ	สะ ถา นะ
สถานี	สะ ถา นี
สถานีดับเพลิง	สะ ถา นี ดับ เพฺลิง
สถานีตำรวจ	สะ ถา นี ตำ หฺรวด
สถานีบริการน้ำมัน	สะ ถา นี บอ ริ กาน น้าม มัน
สถานีบริการน้ำมัน	สะ ถา นี บอ ริ กาน น้ำ มัน
สถานีอวกาศ	สะ ถา นี อะ วะ กาด
สถานแสดงพันธุ์สัตว์น้ำ	สะ ถาน สะ แดง พัน สัด น้าม
สถาบก	สะ ถา บก
สถาบัน	สะ ถา บัน
สถาปนา	สะ ถา ปะ นา
สถาปนิก	สะ ถา ปะ นิก
สถาปัตยกรรม	สะ ถา ปัด ตะ ยะ กำ
สถิต	สะ ถิด
สถิติ	สะ ถิ ติ
สถิติศาสตร์	สะ ถิ ติ สาด
สถุล	สะ ถุน
สถูป	สะ ถูบ
สนง.	สอ นอ งอ
สนญ.	สอ นอ ยอ
สนทนา	สน ทะ นา
สนธยา	สน ทะ ยา
สนธิ	สน ทิ
สนธิสัญญา	สน ทิ สัน ยา
สนม	สะ หฺนม
สนมเอก	สะ หฺนม เอก
สนอง	สะ หฺนอง
สนับ	สะ หฺนับ
สนับสนุน	สะ หฺนับ สะ หฺนุน
สนั่น	สะ หฺนั่น
สนาม	สะ หฺนาม
สนามกีฬา	สะ หฺนาม กี ลา
สนามบิน	สะ หฺนาม บิน
สนามเด็กเล่น	สะ หฺนาม เด็ก เล็่น
สนามไฟฟ้า	สะ หฺนาม ไฟ ฟ้า
สนิท	สะ หฺนิด
สนิม	สะ หฺนิม
สนุก	สะ หฺนุก
สนุกสนาน	สะ หฺนุก สะ หฺนาน
สนใจ	สน ไจ
สบตา	สบ ตา
สบถ	สะ บด
สบาย	สะ บาย
สบาย	ส̄ะ บาย
สบายดีไหม	สะ บาย ดี ไหฺม
สบู่	สะ บู่
สบู่เหลว	สะ บู่ เหฺลว
สปริง	สะ ปฺริง
สปอร์	สะ ปอ
สปอร์ต	สะ ปอด
สปา	สะ ปา
สปาเกตตี	สะ ปา เก็๊ด ตี้
สปีชีส์	สะ ปี ชี่
สปีชีส์	สะ ปี ชีส
สปุตนิก	สะ ปุ๊ด หฺนิก
สฟิงซ์	สะ ฟิ้ง
สภา	สะ พา
สภาขุนนาง	สะ พา ขุน นาง
สภาคณาจารย์	สะ พา คะ นา จาน
สภานิติบัญญัติ	สะ พา นิ ติ บัน หฺยัด
สภาบดี	สะ พา บอ ดี
สภาพ	สะ พาบ
สภาพบุคคล	สะ พาบ บุก คน
สภาพอากาศ	สะ พาบ อา กาด
สภาล่าง	สะ พา ล่าง
สภาสูง	สะ พา สูง
สม	สม
สม	สะ มะ 
สมการ	สะ มะ กาน
สมการเคมี	สะ มะ กาน เค มี
สมคบ	สม คบ
สมควร	สม ควน
สมชาย	สม ชาย
สมณ	สะ มะ นะ
สมณมนตรี	สะ มะ นะ มน ตฺรี
สมณสารูป	สะ มะ นะ สา รูบ
สมณะ	สะ มะ นะ
สมณะกระทรวง	สะ มะ นะ กฺระ ซวง
สมณะทบวง	สะ มะ นะ ทะ บวง
สมทบ	สม ทบ
สมน้ำหน้า	สม น้ำ น่า
สมบัติ	สม บัด
สมบูรณ	สม บู ระ นะ 
สมบูรณาญาสิทธิราชย์	สม บู ระ นา ยา สิด ทิ ราด
สมบูรณ์	สม บูน
สมภพ	สม พบ
สมภาร	สม พาน
สมภาร	สม พา ระ 
สมภารกินไก่วัด	สม พาน กิน ไก่ วัด
สมมติ	สม มุด
สมมติฐาน	สม มุด ติ ถาน
สมมาตร	สม มาด
สมมุติ	สม มุด
สมมุติฐาน	สม มุด ติ ถาน
สมรภูมิ	สะ หฺมอ ระ พูม
สมรภูมิ	สะ หฺมอน ระ พูม
สมรรถนะ	สะ มัด ถะ นะ
สมรส	สม รด
สมส่วน	สม ส่วน
สมหวัง	สม หฺวัง
สมอ	สะ หฺมอ
สมอง	สะ หฺมอง
สมองตาย	สะ หฺมอง ตาย
สมองฝ่อ	สะ หฺมอง ฝ่อ
สมองอักเสบ	สะ หฺมอง อัก เสบ
สมองไหล	สะ หฺมอง ไหฺล
สมอพิเภก	สะ หฺมอ พิ เพก
สมัคร	สะ หฺมัก
สมัครเล่น	สะ หฺมัก เล็่น
สมัครใจ	สะ หฺมัก ไจ
สมัชชาใหญ่แห่งสหประชาชาติ	สะ มัด ชา ไหฺย่ แห่ง สะ หะ ปฺระ ชา ชาด
สมัน	สะ หฺมัน
สมัย	สะ ไหฺม
สมัยพระเจ้าเหา	สะ ไหฺม พฺระ จ้าว เหา
สมัยใหม่	สะ หฺมัย ไหฺม่
สมาคม	สะ มา คม
สมาชิก	สะ มา ชิก
สมาชิก	สะ มา ชิก กะ 
สมาชิกภาพ	สะ มา ชิก กะ พาบ
สมาชิกรัฐสภา	สะ มา ชิก รัด ถะ สะ พา
สมาธิ	สะ มา ทิ
สมาธิ	ส̄ะ มา ทิ
สมาส	สะ หฺมาด
สมิง	สะ หฺมิง
สมี	สะ หฺมี
สมุด	สะ หฺมุด
สมุดบันทึก	สะ หฺมุด บัน ทึก
สมุทร	สะ หฺมุด
สมุทร	สะ หฺมุด ทฺระ 
สมุทรปราการ	สะ หฺมุด ปฺรา กาน
สมุทรสงคราม	สะ หฺมุด สง คฺราม
สมุทรสาคร	สะ หฺมุด สา คอน
สมุทฺท	สะ หฺมุด
สมุน	สะ หฺมุน
สมุนไพร	สะ หฺมุน ไพฺร
สมุห	สะ หฺมุ หะ 
สมุหนาม	สะ หฺมุ หะ นาม
สมเดจ์	สม เด็ด
สมเดจ์พระ	สม เด็ด พฺระ
สมเด็จ	สม เด็ด
สมเด็จบรมบพิตรพระราชสมภารเจ้า	สม เด็ด บอ รม มะ บอ พิด พฺระ ราด ชะ สม พา ระ จ้าว
สมเด็จพระ	สม เด็ด พฺระ
สมเด็จพระบรมบพิตรพระราชสมภารเจ้า	สม เด็ด พฺระ บอ รม มะ บอ พิด พฺระ ราด ชะ สม พา ระ จ้าว
สมเด็จพระราชาคณะ	สม เด็ด พฺระ รา ชา คะ นะ
สมเด็จเจ้าพระยา	สม เด็ด จ้าว พฺระ ยา
สมเพช	สม เพด
สมเสร็จ	สม เส็ด
สมเหตุสมผล	สม เหด สม ผน
สมโภช	สม โพด
สม่ำเสมอ	สะ หฺม่ำ สะ เหฺมอ
สยอง	สะ หฺยอง
สยาม	สะ หฺยาม
สยาม	สะ หฺยาม มะ 
สยามินทราธิราช	สะ หฺยา มิน ทฺรา ทิ ราด
สยามินทร์	สะ หฺยา มิน
สยิว	สะ หฺยิว
สยึ๋มกึ๋ย	สะ หฺยึม กึ๋ย
สรง	สง
สรท	สะ ระ ทะ
สรทะ	สะ ระ ทะ
สรภัญญะ	สะ ระ พัน ยะ
สรภัญญะ	สอ ระ พัน ยะ
สรรค์	สัน
สรรพ	สับ
สรรพ	สับ พะ 
